x2,x4,x5,x6,x7,x8,x10,x11,x12,y1,y2,y3,y4,y5,y7,biogas,metano
1.00,8.51,35.80,0.33,1.32,0.21,3.63,2.57,3.78,2.15,0.80,2.83,40.77,68.87,25.13,,
1.00,8.49,36.30,0.33,1.32,0.21,3.63,2.57,3.78,2.25,0.89,,38.02,65.37,,,
1.00,8.30,35.50,0.33,1.32,0.21,3.63,2.57,3.78,1.87,0.65,,48.48,74.71,,,
1.00,8.28,35.30,0.33,1.32,0.21,3.63,2.57,3.78,1.76,0.56,,51.52,78.21,,,
1.00,8.22,35.10,0.33,1.32,0.21,3.63,2.57,3.78,1.66,0.49,,54.27,80.93,,,
1.00,8.33,35.80,0.33,1.32,0.21,3.63,2.57,3.78,1.78,0.55,,50.96,78.60,,,
1.00,8.25,35.60,0.33,1.32,0.21,3.63,2.57,3.78,1.66,0.49,,54.27,80.93,,,
1.00,8.20,35.40,0.33,1.32,0.21,3.63,2.57,3.78,1.63,0.50,,55.10,80.54,,,
1.00,8.08,35.50,0.33,1.32,0.21,3.63,2.57,3.78,1.66,0.54,,54.27,78.99,,,
1.00,7.89,35.60,0.33,1.32,0.21,3.63,2.57,3.78,1.58,0.53,1.10,56.47,79.38,70.90,,
1.00,7.70,35.80,0.33,1.98,0.30,4.84,3.66,5.29,1.68,0.60,1.37,65.29,83.61,74.10,,
1.00,7.64,35.70,0.33,1.98,0.30,4.84,3.66,5.29,1.91,0.81,,60.54,77.87,,,
1.00,7.57,35.90,0.33,1.98,0.30,4.84,3.66,5.29,1.95,0.87,,59.71,76.23,,,
1.00,7.53,36.10,0.33,1.98,0.30,4.84,3.66,5.29,1.75,1.07,,63.84,70.77,,,
1.00,7.46,35.30,0.33,1.98,0.30,4.84,3.66,5.29,2.05,1.18,,57.64,67.76,,,
1.00,7.44,35.80,0.33,1.98,0.30,4.84,3.66,5.29,1.98,1.13,,59.09,69.13,,,
1.00,7.40,35.80,0.33,1.98,0.30,4.84,3.66,5.29,1.84,1.11,,61.98,69.67,,,
1.00,7.37,35.50,0.33,1.98,0.30,4.84,3.66,5.29,1.90,0.98,,60.74,73.22,,,
1.00,7.36,35.30,0.33,1.98,0.30,4.84,3.66,5.29,1.87,1.00,,61.36,72.68,,,
1.00,7.32,35.50,0.33,1.98,0.30,4.84,3.66,5.29,1.83,1.05,2.35,62.19,71.31,55.58,,
1.00,7.30,35.70,0.33,2.64,0.44,6.25,4.94,7.91,2.76,1.55,3.42,55.84,68.62,56.76,2.70,8.56
1.00,7.24,35.50,0.33,2.64,0.44,6.25,4.94,7.91,2.73,1.56,,56.32,68.42,,2.70,8.56
1.00,7.13,35.30,0.33,2.64,0.44,6.25,4.94,7.91,2.28,1.13,,63.52,77.13,,2.70,8.56
1.00,7.15,35.70,0.33,2.64,0.44,6.25,4.94,7.91,2.08,0.96,,66.72,80.57,,2.70,8.56
1.00,7.19,35.40,0.33,2.64,0.44,6.25,4.94,7.91,2.88,1.58,,53.92,68.02,,2.70,8.56
1.00,7.27,35.60,0.33,2.64,0.44,6.25,4.94,7.91,2.10,1.04,,66.40,78.95,,2.70,8.56
1.00,7.17,35.50,0.33,2.64,0.44,6.25,4.94,7.91,2.36,1.24,,62.24,74.90,,2.70,8.56
1.00,7.14,35.60,0.33,2.64,0.44,6.25,4.94,7.91,2.18,1.03,,65.12,79.15,,2.70,8.56
1.00,7.03,35.30,0.33,2.64,0.44,6.25,4.94,7.91,2.55,1.35,,59.20,72.67,,2.70,8.56
1.00,7.01,35.60,0.33,2.64,0.44,6.25,4.94,7.91,2.62,1.49,3.10,58.08,69.84,60.81,2.70,8.56
1.00,7.08,35.30,0.33,3.30,0.61,7.73,6.10,10.80,2.36,1.32,2.72,69.47,78.36,74.81,4.00,17.68
1.00,7.04,35.20,0.33,3.30,0.61,7.73,6.10,10.80,2.62,1.49,,66.11,75.57,,4.00,17.68
1.00,7.06,35.50,0.33,3.30,0.61,7.73,6.10,10.80,2.79,1.62,,63.91,73.44,,4.00,17.68
1.00,7.01,35.30,0.33,3.30,0.61,7.73,6.10,10.80,2.61,1.46,,66.24,76.07,,4.00,17.68
1.00,7.05,35.90,0.33,3.30,0.61,7.73,6.10,10.80,2.66,1.45,,65.59,76.23,,4.00,17.68
1.00,7.20,35.80,0.33,3.30,0.61,7.73,6.10,10.80,2.29,1.16,,70.38,80.98,,4.00,17.68
1.00,7.16,35.70,0.33,3.30,0.61,7.73,6.10,10.80,2.86,1.66,,63.00,72.79,,4.00,17.68
1.00,7.10,35.40,0.33,3.30,0.61,7.73,6.10,10.80,2.65,1.49,,65.72,75.57,,4.00,17.68
1.00,7.06,35.80,0.33,3.30,0.61,7.73,6.10,10.80,2.99,1.75,,61.32,71.31,,4.00,17.68
1.00,7.25,35.80,0.33,3.30,0.61,7.73,6.10,10.80,2.69,1.49,3.38,65.20,75.57,68.70,4.00,17.68
2.00,7.03,35.80,0.33,3.31,0.87,11.31,9.99,15.54,2.90,1.69,3.91,74.36,83.08,74.84,5.00,17.79
2.00,6.90,35.90,0.33,3.31,0.87,11.31,9.99,15.54,2.73,1.61,,75.86,83.88,,5.00,17.79
2.00,7.08,35.40,0.33,3.31,0.87,11.31,9.99,15.54,2.97,1.74,,73.74,82.58,,5.00,17.79
2.00,6.96,35.90,0.33,3.31,0.87,11.31,9.99,15.54,3.00,1.80,,73.47,81.98,,5.00,17.79
2.00,6.87,35.50,0.33,3.31,0.87,11.31,9.99,15.54,2.85,1.68,,74.80,83.18,,5.00,17.79
2.00,6.97,35.90,0.33,3.31,0.87,11.31,9.99,15.54,3.01,1.80,,73.39,81.98,,5.00,17.79
2.00,6.91,35.10,0.33,3.31,0.87,11.31,9.99,15.54,3.21,1.99,,71.62,80.08,,5.00,17.79
2.00,7.05,35.80,0.33,3.31,0.87,11.31,9.99,15.54,3.38,1.80,,70.11,81.98,,5.00,17.79
2.00,6.98,35.80,0.33,3.31,0.87,11.31,9.99,15.54,3.05,1.77,,73.03,82.28,,5.00,17.79
2.00,7.10,35.60,0.33,3.31,0.87,11.31,9.99,15.54,2.70,1.75,3.54,76.13,82.48,77.22,5.00,17.79
3.00,7.38,35.70,0.33,3.32,1.98,12.99,11.14,35.35,2.52,1.20,3.71,80.60,89.23,89.50,12.00,37.44
3.00,7.28,35.90,0.33,3.32,1.98,12.99,11.14,35.35,2.79,1.47,,78.52,86.80,,12.00,37.44
3.00,7.11,35.60,0.33,3.32,1.98,12.99,11.14,35.35,2.87,1.56,,77.91,86.00,,12.00,37.44
3.00,7.05,35.50,0.33,3.32,1.98,12.99,11.14,35.35,3.14,1.80,,75.83,83.84,,12.00,37.44
3.00,7.04,35.60,0.33,3.32,1.98,12.99,11.14,35.35,3.04,1.69,,76.60,84.83,,12.00,37.44
3.00,7.07,35.90,0.33,3.32,1.98,12.99,11.14,35.35,2.95,1.55,,77.29,86.09,,12.00,37.44
3.00,7.18,35.70,0.33,3.32,1.98,12.99,11.14,35.35,2.92,1.52,,77.52,86.36,,12.00,37.44
3.00,7.25,35.80,0.33,3.32,1.98,12.99,11.14,35.35,2.82,1.36,,78.29,87.79,,12.00,37.44
3.00,7.22,35.60,0.33,3.32,1.98,12.99,11.14,35.35,2.67,1.37,,79.45,87.70,,12.00,37.44
3.00,7.27,35.70,0.33,3.32,1.98,12.99,11.14,35.35,2.69,1.33,3.01,79.29,88.06,91.49,12.00,37.44
1.00,7.52,35.70,0.33,3.97,1.11,9.33,7.39,19.74,2.80,1.32,3.63,69.99,82.14,81.61,8.00,29.80
1.00,7.53,35.60,0.33,3.97,1.11,9.33,7.39,19.74,2.44,1.08,,73.85,85.39,,8.00,29.80
1.00,7.66,35.30,0.33,3.97,1.11,9.33,7.39,19.74,2.50,1.12,,73.20,84.84,,8.00,29.80
1.00,7.69,36.10,0.33,3.97,1.11,9.33,7.39,19.74,2.58,1.19,,72.35,83.90,,8.00,29.80
1.00,7.64,35.70,0.33,3.97,1.11,9.33,7.39,19.74,2.45,1.05,,73.74,85.79,,8.00,29.80
1.00,7.67,35.90,0.33,3.97,1.11,9.33,7.39,19.74,2.35,0.91,,74.81,87.69,,8.00,29.80
1.00,7.79,35.90,0.33,3.97,1.11,9.33,7.39,19.74,2.35,1.00,,74.81,86.47,,8.00,29.80
1.00,7.76,35.30,0.33,3.97,1.11,9.33,7.39,19.74,2.27,0.90,,75.67,87.82,,8.00,29.80
1.00,7.71,35.70,0.33,3.97,1.11,9.33,7.39,19.74,2.32,0.94,,75.13,87.28,,8.00,29.80
1.00,7.70,35.60,0.33,3.97,1.11,9.33,7.39,19.74,2.14,0.83,2.09,77.06,88.77,89.41,8.00,29.80
2.00,7.69,35.80,0.33,3.98,1.42,12.27,10.75,25.30,2.08,0.82,2.20,83.05,92.37,91.30,,
2.00,7.61,35.40,0.33,3.98,1.42,12.27,10.75,25.30,2.09,0.84,,82.97,92.19,,,
2.00,7.60,35.60,0.33,3.98,1.42,12.27,10.75,25.30,2.16,0.90,,82.40,91.63,,,
2.00,7.57,35.50,0.33,3.98,1.42,12.27,10.75,25.30,2.17,0.86,,82.31,92.00,,,
2.00,,,0.33,3.98,1.42,12.27,10.75,25.30,,,,,,,,
2.00,,,0.33,3.98,1.42,12.27,10.75,25.30,,,,,,,,
2.00,,,0.33,3.98,1.42,12.27,10.75,25.30,,,,,,,,
2.00,,,0.33,3.98,1.42,12.27,10.75,25.30,,,,,,,,
2.00,,,0.33,3.98,1.42,12.27,10.75,25.30,,,,,,,,
2.00,,,0.33,3.98,1.42,12.27,10.75,25.30,,,,,,,,
